datetime,ticker,price
2026-03-17 11:11:22.078552,7011.T,4881.0
2026-03-17 11:11:22.078552,8035.T,38780.0
2026-03-17 14:43:21.348042,4568.T,2938.0
2026-03-17 14:43:21.348042,7011.T,4881.0
2026-03-17 14:43:21.348042,8035.T,38780.0
2026-03-17 18:08:28.882906,4568.T,2938.0
2026-03-17 18:08:28.882906,7011.T,4881.0
2026-03-17 18:08:28.882906,8035.T,38780.0
2026-03-17 20:04:22.149800,4568.T,2938.0
2026-03-17 20:04:22.149800,7011.T,4881.0
2026-03-17 20:04:22.149800,8035.T,38780.0
2026-03-17 22:02:47.307704,4568.T,2938.0
2026-03-17 22:02:47.307704,7011.T,4881.0
2026-03-17 22:02:47.307704,8035.T,
2026-03-17 23:50:38.296549,4568.T,2938.0
2026-03-17 23:50:38.296549,7011.T,4881.0
2026-03-17 23:50:38.296549,8035.T,38780.0
2026-03-18 05:42:15.712509,4568.T,2974.0
2026-03-18 05:42:15.712509,7011.T,4964.0
2026-03-18 05:42:15.712509,8035.T,39960.0
2026-03-18 08:03:45.320332,4568.T,2977.0
2026-03-18 08:03:45.320332,7011.T,5000.0
2026-03-18 08:03:45.320332,8035.T,40290.0
2026-03-18 11:13:05.816684,4568.T,2977.0
2026-03-18 11:13:05.816684,7011.T,5000.0
2026-03-18 11:13:05.816684,8035.T,40290.0
2026-03-18 15:50:11.151611,4568.T,2977.0
2026-03-18 15:50:11.151611,7011.T,
2026-03-18 15:50:11.151611,8035.T,40290.0
2026-03-18 19:34:14.867269,4568.T,2977.0
2026-03-18 19:34:14.867269,7011.T,5000.0
2026-03-18 19:34:14.867269,8035.T,40290.0
2026-03-18 21:22:59.838443,4568.T,2977.0
2026-03-18 21:22:59.838443,7011.T,5000.0
2026-03-18 21:22:59.838443,8035.T,40290.0
2026-03-18 23:00:47.046307,4568.T,2977.0
2026-03-18 23:00:47.046307,7011.T,5000.0
2026-03-18 23:00:47.046307,8035.T,40290.0
2026-03-18 23:58:21.956671,4568.T,2977.0
2026-03-18 23:58:21.956671,7011.T,5000.0
2026-03-18 23:58:21.956671,8035.T,40290.0
2026-03-19 05:26:24.384794,4568.T,2914.5
2026-03-19 05:26:24.384794,7011.T,4910.0
2026-03-19 05:26:24.384794,8035.T,39290.0
2026-03-19 07:59:03.362197,4568.T,2903.0
2026-03-19 07:59:03.362197,7011.T,4848.0
2026-03-19 07:59:03.362197,8035.T,39330.0
2026-03-19 10:25:53.344067,4568.T,
2026-03-19 10:25:53.344067,7011.T,4848.0
2026-03-19 10:25:53.344067,8035.T,39330.0
2026-03-19 12:01:57.898633,4568.T,2903.0
2026-03-19 12:01:57.898633,7011.T,4848.0
2026-03-19 12:01:57.898633,8035.T,39330.0
2026-03-19 15:09:30.227748,4568.T,2903.0
2026-03-19 15:09:30.227748,7011.T,4848.0
2026-03-19 15:09:30.227748,8035.T,
2026-03-19 18:04:13.608213,4568.T,2903.0
2026-03-19 18:04:13.608213,7011.T,4848.0
2026-03-19 18:04:13.608213,8035.T,39330.0
2026-03-19 20:00:22.161562,4568.T,2903.0
2026-03-19 20:00:22.161562,7011.T,
2026-03-19 20:00:22.161562,8035.T,39330.0
2026-03-19 21:51:38.077955,4568.T,2903.0
2026-03-19 21:51:38.077955,7011.T,4848.0
2026-03-19 21:51:38.077955,8035.T,39330.0
2026-03-19 23:47:36.461359,4568.T,2903.0
2026-03-19 23:47:36.461359,7011.T,4848.0
2026-03-19 23:47:36.461359,8035.T,39330.0
2026-03-20 05:09:33.711070,4568.T,2903.0
2026-03-20 05:09:33.711070,7011.T,4848.0
2026-03-20 05:09:33.711070,8035.T,39330.0
2026-03-20 07:52:28.205361,4568.T,
2026-03-20 07:52:28.205361,7011.T,4848.0
2026-03-20 07:52:28.205361,8035.T,39330.0
2026-03-20 10:07:32.820670,4568.T,2903.0
2026-03-20 10:07:32.820670,7011.T,4848.0
2026-03-20 10:07:32.820670,8035.T,39330.0
2026-03-20 11:47:56.179899,4568.T,
2026-03-20 11:47:56.179899,7011.T,4848.0
2026-03-20 11:47:56.179899,8035.T,39330.0
2026-03-20 15:04:57.625261,4568.T,2903.0
2026-03-20 15:04:57.625261,7011.T,4848.0
2026-03-20 15:04:57.625261,8035.T,39330.0
2026-03-20 17:25:44.688138,4568.T,2903.0
2026-03-20 17:25:44.688138,7011.T,4848.0
2026-03-20 17:25:44.688138,8035.T,39330.0
2026-03-20 19:49:36.010022,4568.T,2903.0
2026-03-20 19:49:36.010022,7011.T,4848.0
2026-03-20 19:49:36.010022,8035.T,39330.0
